song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
4xBdYia1CdzUHjguICASZr,PIECES OF LOVE,TWICE,Perfect World,241746,8,19843777,62,81,28/7/2021,3/4/2024,47,"['k-pop', 'k-pop girl group', 'pop']"
6LlUHkJ6FsR5NpZA4vsVNe,"Thank you, Family",TWICE,Perfect World,197353,9,19843777,62,81,28/7/2021,3/4/2024,45,"['k-pop', 'k-pop girl group', 'pop']"
3vA8ZdIqvRARF2pVKlnAWD,PROMISE,TWICE,Perfect World,259693,10,19843777,62,81,28/7/2021,3/4/2024,46,"['k-pop', 'k-pop girl group', 'pop']"
37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,TWICE,Eyes Wide Open,205493,1,19843777,70,81,26/10/2020,3/4/2024,72,"['k-pop', 'k-pop girl group', 'pop']"
3KCreWc88InXH3XuL54C5a,HELL IN HEAVEN,TWICE,Eyes Wide Open,179320,2,19843777,70,81,26/10/2020,3/4/2024,53,"['k-pop', 'k-pop girl group', 'pop']"
1LiNP5q2thWScdvCRkJ584,UP NO MORE,TWICE,Eyes Wide Open,214240,3,19843777,70,81,26/10/2020,3/4/2024,58,"['k-pop', 'k-pop girl group', 'pop']"
54kGRAmn3I49RPAhdWG2sp,DO WHAT WE LIKE,TWICE,Eyes Wide Open,179586,4,19843777,70,81,26/10/2020,3/4/2024,49,"['k-pop', 'k-pop girl group', 'pop']"
2APCo1hwAaua9CslYXqALD,BRING IT BACK,TWICE,Eyes Wide Open,208133,5,19843777,70,81,26/10/2020,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
7louodH5FUYuL3yvHQtq3O,BELIEVER,TWICE,Eyes Wide Open,196946,6,19843777,70,81,26/10/2020,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
2xVCwFrNYnllRX1g0drYVI,QUEEN,TWICE,Eyes Wide Open,193573,7,19843777,70,81,26/10/2020,3/4/2024,51,"['k-pop', 'k-pop girl group', 'pop']"
5uZ5VUoj2al8GttE421bTD,GO HARD,TWICE,Eyes Wide Open,181520,8,19843777,70,81,26/10/2020,3/4/2024,63,"['k-pop', 'k-pop girl group', 'pop']"
5HSooivbDgCWBOv24vtYiB,SHOT CLOCK,TWICE,Eyes Wide Open,209480,9,19843777,70,81,26/10/2020,3/4/2024,49,"['k-pop', 'k-pop girl group', 'pop']"
2laLdXRHMaHCuqr3DXgzhZ,HANDLE IT,TWICE,Eyes Wide Open,171053,10,19843777,70,81,26/10/2020,3/4/2024,49,"['k-pop', 'k-pop girl group', 'pop']"
34WYAVk1WHSyMxY9tHRPyA,DEPEND ON YOU,TWICE,Eyes Wide Open,198866,11,19843777,70,81,26/10/2020,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
2gagYYY4R8QimbnFqd96ST,SAY SOMETHING,TWICE,Eyes Wide Open,247360,12,19843777,70,81,26/10/2020,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
7mBgzdwjJzfnUJtHrRXuCA,BEHIND THE MASK,TWICE,Eyes Wide Open,218533,13,19843777,70,81,26/10/2020,3/4/2024,47,"['k-pop', 'k-pop girl group', 'pop']"
3omvXShuRPM3zbDpWYqf5g,MORE & MORE,TWICE,MORE & MORE,199653,1,19843777,62,81,1/6/2020,3/4/2024,65,"['k-pop', 'k-pop girl group', 'pop']"
128rj96Z6tTEU3h3awSMdB,OXYGEN,TWICE,MORE & MORE,225400,2,19843777,62,81,1/6/2020,3/4/2024,49,"['k-pop', 'k-pop girl group', 'pop']"
5NhDDt5Zy8yGOECN3PLRdE,FIREWORK,TWICE,MORE & MORE,193466,3,19843777,62,81,1/6/2020,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
6caS9LrdquWAfGeAmjqt1t,MAKE ME GO,TWICE,MORE & MORE,186706,4,19843777,62,81,1/6/2020,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
7HzvvhTmfzvD1dV4F7MIcm,SHADOW,TWICE,MORE & MORE,168893,5,19843777,62,81,1/6/2020,3/4/2024,47,"['k-pop', 'k-pop girl group', 'pop']"
4pOPTaIor4ilgBCcOmnJRU,DON’T CALL ME AGAIN,TWICE,MORE & MORE,173346,6,19843777,62,81,1/6/2020,3/4/2024,43,"['k-pop', 'k-pop girl group', 'pop']"
6UrML9LyuaBWgZV3nFLLGl,SWEET SUMMER DAY,TWICE,MORE & MORE,191986,7,19843777,62,81,1/6/2020,3/4/2024,46,"['k-pop', 'k-pop girl group', 'pop']"
3egADkalVEpD99sI5AGGYe,SWING,TWICE,&TWICE (Repackage),202540,1,19843777,44,81,5/2/2020,3/4/2024,39,"['k-pop', 'k-pop girl group', 'pop']"
2U3stMMeyotWIzAyK34uGW,Fake & True,TWICE,&TWICE (Repackage),219625,2,19843777,44,81,5/2/2020,3/4/2024,35,"['k-pop', 'k-pop girl group', 'pop']"
4PaWSg8QnJiY7xkhqdP5Kh,Stronger,TWICE,&TWICE (Repackage),194973,3,19843777,44,81,5/2/2020,3/4/2024,30,"['k-pop', 'k-pop girl group', 'pop']"
4FSZ58qDnveyK6aAjFMtN2,Breakthrough,TWICE,&TWICE (Repackage),217650,4,19843777,44,81,5/2/2020,3/4/2024,37,"['k-pop', 'k-pop girl group', 'pop']"
