song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,genres,days_diff,popularity
3Q81IdqSlc1HyMCuBrjiBv,Spring confession,Shin Hyun Woo,Spring confession,173670,1,443,0,11,2024-04-02,['k-pop ballad'],1.0,0
4Y7kYjO5a7M0JsbnaAgUy5,Expression,Ku One Chan,HOMESICK LIVE,210448,15,17618,0,32,2024-04-02,['k-indie'],1.0,0
0nqgT7ndih2023zjYTFe39,"I Don′t Care (Feat. Skinny Brown, CHANGMO)",TOIL,TOTO,173373,1,106774,47,47,2024-03-29,['k-rap'],5.0,38
5kMDKlRMO3MNeCKt73Ab7i,조금 돌아왔어 (Feat. Skinny Brown),Deepshower,PUNCHSHOWER,196920,1,16812,19,21,2024-03-30,['korean r&b'],4.0,22
0cdUX9QuaOcbXYTEfnFS7o,"Touch (Feat. TRADE L, The Quiett)",TOIL,TOTO,140346,9,106774,47,47,2024-03-29,['k-rap'],5.0,33
3HIDWyZGwSe5MhrSP890nc,Rhapsody of Sadness,Lim Jae Hyun,Rhapsody of Sadness,235120,1,46512,47,41,2023-12-03,"['k-pop ballad', 'korean pop']",122.0,53
3TQHPUEVdvdq8ejwEcHUlL,If I have you only (My love X Nerd Connection),Nerd Connection,If I have you only (My love X Nerd Connection),250573,1,71269,47,45,2023-08-15,['korean indie rock'],232.0,53
3FR2yqZsG07NhXz7uPyUyC,You Were Beautiful,DAY6,SUNRISE,283160,13,3193514,64,66,2017-06-07,"['k-pop', 'k-pop boy group']",2492.0,66
6TJ6kw1jj1quL6pD8ghuTe,Remember Me,Hwagok-dong green frog,Remember Me,216364,1,73,35,23,2024-01-16,"['k-pop', 'korean pop']",78.0,41
5IFuZw0mqTVZn1xWzfYqbb,old song,Standing Egg,SHINE,272762,10,184126,37,44,2013-10-04,"['k-indie', 'korean pop']",3834.0,43
4mqfe9XrgEOSsofvq5MyjR,Heavenly fate,LEE CHANGSUB,Heavenly fate (Original Soundtrack from the Webtoon A Not So Fairy Tale),271173,1,51899,42,36,2024-02-21,"['korean pop', 'korean talent show']",42.0,48
02K01fxmK5qQrwWSHGbb9d,KISS ME,DPR LIVE,IS ANYBODY OUT THERE?,278200,8,1028310,56,61,2020-03-03,['korean r&b'],1492.0,59
4mJWqVx4vIxIc91b8YZQc8,Intro : DREAMING,TOMORROW X TOGETHER,STILL DREAMING,74306,1,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,41
7znFWDzgm3Ld5fpze6EJp5,Force,TOMORROW X TOGETHER,STILL DREAMING,241453,2,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,45
2rPvbloYiatOGsvWWvR62H,5時53分の空で見つけた君と僕 - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,210106,3,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,42
